Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 3 - Mephisto 1	100	2	2	21	21	74	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	22	-1	-1	-1	-1	101	101	83	83					67	68	65	66	-1	-1	-1	-1		255	255	255			1		3800	25	50	75	25	55	83	4000	4000	4000	1	2	3	4	5	7	1		3	mummy5	vampire3	blunderbore3	bonefetish5																							mummy5	vampire3	blunderbore3	bonefetish5																						mummy5	vampire3	blunderbore3	bonefetish5																						bat				30								0	30	255	Durance of Hate Level 1	To The Durance of Hate Level 1	A3L26	60	61	59	74					50	25	45	45					0
Act 3 - Mephisto 2	101	2	2	21	21	75	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	22	-1	-1	-1	-1	102	102	100	100					67	68	65	66	-1	-1	-1	-1		255	255	255			1		3700	25	50	75	25	55	83	4000	4000	4000	1	2	3	4	5	7	1		3	mummy5	vampire3	blunderbore3	bonefetish5																							mummy5	vampire3	blunderbore3	bonefetish5																						mummy5	vampire3	blunderbore3	bonefetish5																						bat				30								0	30	26	Durance of Hate Level 2	To The Durance of Hate Level 2	A3L27	60	61	59	74					50	25	45	45					0
Act 3 - Mephisto 3	102	2	2	21	21	76	41	29	41	29	41	29	3500	1600		1				1	1	1		1	2	22	-1	-1	-1	-1			101	101					-1	-1	65	66	-1	-1	-1	-1		255	255	255		1	1		3800	25	50	75	25	55	83	4000	4000	4000	1	2	3	4	5	7	1		3	vampire4	vampire4																									vampire4	vampire4																								vampire4	bonefetish5																								bat				30								0	30	255	Durance of Hate Level 3	To The Durance of Hate Level 3	A3L28	60	61	59	74					50	25	45	45					0
Act 4 - Town	103	3	3			77	32	24	32	24	32	24	1000	1000		1					1	1			2	26	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	140	255	255	255		1			2025		25	50																																																																																																								0	31	27	The Pandemonium Fortress	To The Pandemonium Fortress	A4L1																	0
Act 4 - Mesa 1	104	3	3			77	80	64	80	64	80	64	-1	-1		1					1	1			3	27	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255			1		3900	26	51	76	26	56	82	4000	4000	4000		1	5	6	8	10	1		3	sandleaper5	vilemother1	fingermage1	regurgitator1	doomknight1	megademon3																					sandleaper5	vilemother1	fingermage1	regurgitator1	doomknight1	megademon3																				sandleaper5	vilemother1	fingermage1	regurgitator1	doomknight1	megademon1																																0	32	255	Outer Steppes	To The Outer Steppes	A4L2	46	47	77						30	80	70						0
Act 4 - Mesa 2	105	3	3			77	64	80	64	80	64	80	-1	-1		1					1	1			3	27	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	80	255	255	255			1		2025	26	51	76	26	56	85	4000	4000	4000		1	5	6	8	10	1		3	willowisp3	vilemother1	fingermage1	regurgitator1	doomknight1	megademon3																					willowisp3	vilemother1	fingermage1	regurgitator1	doomknight1	megademon3																				willowisp3	vilemother1	fingermage1	regurgitator1	doomknight1	megademon2																																0	32	255	Plains of Despair	To The Plains of Despair	A4L3	46	47	77						30	80	70						0
Act 4 - Mesa 3	106	3	3			77	80	64	80	64	80	64	-1	-1		1					1	1			3	27	-1	-1	-1	-1		107							-1	69	-1	-1	-1	-1	-1	-1	40	255	255	255			1		2025	27	52	77	27	57	84	4000	4000	4000		1	5	6	8	10	1		3	bighead5	batdemon5	vilemother2	fingermage2	regurgitator2	doomknight2	megademon2																				bighead5	batdemon5	vilemother2	fingermage2	regurgitator2	doomknight2	megademon2																			bighead5	batdemon5	vilemother2	fingermage2	regurgitator2	doomknight2	megademon2																															0	32	28	City of the Damned	To The City of the Damned	A4L4	46	47	77						30	80	70						0
Act 4 - Lava 1	107	3	3			78	200	200	200	200	200	200	-1	-1		1					1	1			1	28	-1	-1	-1	-1	106	108							70	-1	-1	-1	-1	-1	-1	-1	120	255	255	255			1		3800	27	52	77	27	57	85	4000	4000	4000		1	4	5	6	7	1	5	3	sandmaggot5	blunderbore4	vilemother3	fingermage2	regurgitator3	doomknight2	megademon2																				sandmaggot5	blunderbore4	vilemother3	fingermage2	regurgitator3	doomknight2	megademon2																			sandmaggot5	blunderbore4	vilemother3	fingermage2	regurgitator3	doomknight2	megademon3																															0	33	29	River of Flame	To The River of Flame	A4L5	48	49							90	60							0
Act 4 - Diablo 1	108	3	3			78	120	120	120	120	120	120	1500	1000		1					1	1			3	28	-1	-1	-1	-1	107								-1	-1	-1	-1	-1	-1	-1	-1	80	255	255	255			1		2025	28	53	78	28	58	85	4000	4000	4000		1	4	5	6	7	1		3	fingermage3	doomknight3	megademon3																								fingermage3	doomknight3	megademon3																							fingermage3	doomknight3	megademon3																																			0	34	255	Chaos Sanctum	To Chaos Sanctum	A4L6	48	49							30	50							0
Expansion																																																																																																																																																																																								
Act 5 - Town	109	4	4			79	40	40	40	40	40	40	1000	1000		1	1				1	1			2	29	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1			2025																																																																																																											0	36	30	Harrogath	To Harrogath	A5L1																	0
Act 5 - Siege 1	110	4	4			79	240	48	240	48	240	48	760	1000		1	1					1			3	30	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	24	49	74	24	58	80		3250	3250	1	2	3	5	4	6			2	minion1	deathmauler1	overseer1	imp1	sk_archer6	quillrat6	bighead6																			1	minion1	deathmauler1	overseer1	imp1	sk_archer6	quillrat6	foulcrow5	vulture5	thornhulk5	slinger7																																									bunny				3								0	37	255	Bloody Foothills	To The Bloody Foothills	A5L2	99	100	101	102	103	104	105	106	40	25	25	25	25	25	25	25	0
Act 5 - Barricade 1	111	4	4			79	-1	-1	-1	-1	-1	-1	-1	-1		1	1					1			3	31	10	1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		3900	25	50	75	25	59	81	2250	2250	2250	1	2	6	7	9	11			3	imp1	siegebeast2																								1	imp3	siegebeast1	minion2	deathmauler2	sk_archer6	cr_archer6	cr_lancer6	slinger8	blunderbore5	overseer2																imp2																									bunny				2								0	37	31	Rigid Highlands	To The Rigid Highlands	A5L3	99	100	101	102	103	104	105	106	25	25	25	25	25	25	25	25	0
Act 5 - Barricade 2	112	4	4			79	-1	-1	-1	-1	-1	-1	-1	-1		1	1					1			3	31	10	1	-1	-1			113						-1	-1	71	-1	-1	-1	-1	-1							1		2025	26	51	76	26	60	81	1750	1750	1750	1	2	6	7	9	11			3	overseer2	minion2																								1	deathmauler3	minion4	siegebeast3	overseer5	imp3	slinger9	skmage_ltng5	skmage_fire5	goatman7	fallenshaman6																overseer2																									bunny				2								0	37	32	Arreat Plateau	To The Arreat Plateau	A5L4	99	100	101	102	103	104	105	106	25	25	25	26	25	25	25	25	0
Act 5 - Ice Cave 1	113	4	4			80	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	33	-1	-1	-1	-1	112	115	114						73	74	75	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	61	82	3500	3500	3500		1	4	5	7	9	1		3	frozenhorror1	succubus3	bloodlord1																							1	snowyeti1	frozenhorror1	succubus1	bloodlord3	sandraider7	sandleaper6	skmage_cold5	cr_archer7	wraith6	clawviper6																snowyeti1	bloodlord1																																				0	39	33	Crystalized Cavern Level 1	To The Crystalized Cavern Level 1	A5L7	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Ice Cave 1A	114	4	4			81	64	64	64	64	64	64	2000	1300		1				1	1	1		1	1	33	-1	-1	-1	-1	113								73	-1	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	61	83	4000	4000	4000		1	3	4	6	8	1		3	snowyeti2	succubus5	reanimatedhorde1																							1	snowyeti1	frozenhorror1	succubus6	reanimatedhorde1	succubuswitch6	willowisp5	skmage_cold5	cr_lancer7	wraith6	clawviper6																frozenhorror2	deathmauler3	bloodlord1																																			0	39	255	Cellar of Pity	To The Cellar of Pity	A5L8	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Ice Cave 2	115	4	4			82	200	200	200	200	200	200	2000	1464		1				1	1	1		1	1	33	-1	-1	-1	-1	113	117	116						73	74	75	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	61	83	3500	3500	3500		1	4	5	7	9	1		3	deathmauler3	reanimatedhorde2	frozenhorror2																							1	snowyeti1	frozenhorror1	reanimatedhorde1	skeleton6	wraith7	batdemon6	skmage_cold5	bloodlord6	skeleton6	clawviper7																snowyeti2	deathmauler3																																				0	40	34	Crystalized Cavern Level 2	To The Crystalized Cavern Level 2	A5L9	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Ice Cave 2A	116	4	4			83	32	32	32	32	32	32	2000	1764		1				1	1	1		1	1	33	-1	-1	-1	-1	115								73	-1	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	61	85	3000	3000	3000		1	3	4	6	8	1		3	snowyeti1	succubus2																								1	snowyeti2	succubus6	frozenhorror2	bighead6	goatman7	cr_archer7	skmage_cold5	wraith6	bloodlord6	sandraider7																succubus3	frozenhorror3																																				0	40	255	Echo Chamber	To The Echo Chamber	A5L10	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Barricade Snow	117	4	4			84	128	80	128	80	128	80	2000	1896		1	1					1			3	31	11	1	-1	-1	115		118						72	-1	71	-1	-1	-1	-1	-1							1		2025	27	52	77	27	60	81	2750	2750	2750	2	3	4	6	9	11			3	siegebeast2	imp4																								1	siegebeast2	imp2	deathmauler4	minion5	succubus5	sk_archer7	vulture5	skmage_ltng5	goatman10	pantherwoman6																imp4																									bunny				2								0	38	36	Tundra Wastelands	To The Tundra Wastelands	A5L5	112	111	113	114	115	129			25	25	25	25	25	25			0
Act 5 - Ice Cave 3	118	4	4			85	200	200	200	200	200	200	2000	2076		1				1	1	1		1	1	33	-1	-1	-1	-1	117	120	119						73	74	75	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	62	82	3250	3250	3250		1	4	5	7	9	1		3	frozenhorror3	deathmauler3	bloodlord1																							1	frozenhorror2	snowyeti2	bloodlord7	fallenshaman6	quillrat7	cr_lancer7	skmage_cold5	cr_lancer7	reanimatedhorde2	bighead6																frozenhorror3	succubus1																																				0	41	37	Glacial Caves Level 1	To The Glacier Caves Level 1	A5L11	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Ice Cave 3A	119	4	4			86	32	32	32	32	32	32	2000	2376		1				1	1	1		1	1	33	-1	-1	-1	-1	118								73	-1	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	29	54	79	29	62	83	3250	3250	3250		1	3	4	6	8	1		3	snowyeti4	succubus3	reanimatedhorde3																							1	snowyeti2	succubus4	bloodlord7	frozenhorror2	clawviper7	bonefetish5	willowisp5	batdemon6	wraith6	succubuswitch6																succubus5	deathmauler5	snowyeti4																																			0	41	255	Glacial Caves Level 2	To The Glacier Caves Level 2	A5L12	107	108	109	123	129	110			25	25	70	25	25	25			0
Act 5 - Mountain Top	120	4	4			87	20	28	20	28	20	28	2000	2508		1	1		1			1			2	31	-1	1	-1	-1	118	128							79	80	-1	-1	-1	-1	-1	-1							1			27	52	77	37	68	87												3	ancientbarb1	ancientbarb2	ancientbarb3																								ancientbarb1	ancientbarb2	ancientbarb3																							ancientbarb1	ancientbarb2	ancientbarb3																																			0	42	255	Rocky Summit	To The Rocky Summit	A5L6																	0
Act 5 - Temple Entrance	121	4	4			88	22	27	22	27	22	27	2000	2636		1	1					1		1	2	31	-1	-1	-1	-1		122							-1	76	-1	-1	-1	-1	-1	-1	1	255	255	255		1	1		2025	32	57	82	32	63	83																																																																																																					0	43	255	Nihlathaks Temple	To Nihlathaks Temple	A5L13																	0
Act 5 - Temple 1	122	4	4			89	80	80	80	80	80	80	2000	2763		1					1	1		1	1	32	-1	-1	-1	-1	121	123							78	77	-1	-1	-1	-1	-1	-1	1	255	255	255			1		3000	33	58	83	33	63	83	3500	3500	3500			2	3	6	7			3	reanimatedhorde3	bloodlord2																									reanimatedhorde3	bloodlord2	deathmauler5	skeleton7	sandleaper7	fallenshaman7	scarab6	fetish6	skmage_pois5	baboon7																reanimatedhorde2	bloodlord2																																				0	44	255	Halls of Anguish	To The Halls of Anguish	A5L14	116	117	118	124	125	129	128		30	30	30	30	40	25	30		0
Act 5 - Temple 2	123	4	4			90	80	80	80	80	80	80	2000	2943		1					1	1		1	1	32	-1	-1	-1	-1	122	124							78	77	-1	-1	-1	-1	-1	-1	1	255	255	255			1		2025	34	59	84	34	64	84	3500	3500	3500			2	3	6	7			3	reanimatedhorde4	deathmauler2	putriddefiler1																							1	bloodlord2	sandraider7	baboon8	goatman9	quillrat8	unraveler6	fetishblow6	cantor5	vilemother4	sandmaggot6																reanimatedhorde3	deathmauler2	baaltaunt																																			0	44	35	Halls of Death's Calling	To The Halls of Death's Calling	A5L15	116	117	118	124	125	129	128		30	30	30	30	40	25	30		0
Act 5 - Temple Boss	124	4	4			91	84	84	84	84	84	84	2500	1000		1					1	1		1	2	32	-1	-1	-1	-1	123								78	-1	-1	-1	-1	-1	-1	-1	1	255	255	255			1		1000	36	61	86	36	64	84	3500	3500	3500									3	minion6	succubus4	putriddefiler2																							1	minion9	succubus4	putriddefiler2	reanimatedhorde3	wraith6	arach6	sk_archer9	fetishshaman6	baboon6	clawviper9																minion6	succubus4	putriddefiler1																																			0	45	255	Halls of Vaught	To The Halls of Vaught	A5L17	116	117	118	124	125	129	128		30	30	30	30	40	25	30		0
Act 5 - Hell 1	125	3	4			92	200	200	200	200	200	200	2500	1184		1					1	1			1	35	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255		1	1		3800	39	64	89	39	60	85	6000	6000	6000		1	1	2	4	6	1		3	bloodlord3	imp2																								1	bloodlord3	imp6	megademon4	succubus7	succubuswitch7	fallenshaman8	sk_archer10	bonefetish6	fingermage4	minion10																overseer2	bloodlord4																																				0	46	255	Hell1	To Hell1	A5L23	48	49							90	60							0
Act 5 - Hell 2	126	3	4			93	200	200	200	200	200	200	2500	1484		1					1	1			1	35	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255		1	1		3800	39	64	89	39	61	85	6000	6000	6000		1	1	2	4	5	1		3	bloodlord2	overseer3																								1	bloodlord3	imp6	megademon4	succubus7	clawviper8	blunderbore6	unraveler7	skmage_fire6	goatman8	regurgitator4																overseer3	bloodlord4																																				0	46	255	Hell2	To Hell2	A5L24	48	49							90	60							0
Act 5 - Hell 3	127	3	4			94	200	200	200	200	200	200	2500	1784		1					1	1			1	35	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255		1	1		3800	39	64	89	39	62	85	6000	6000	6000		1	1	2	4	5	1		3	imp4	overseer4																								1	imp7	overseer4	megademon4	clawviper8	bloodlord2	succubuswitch5	vampire6	fetishblow7	reanimatedhorde6	dkmag1																overseer4	bloodlord5																																				0	46	255	Hell3	To Hell3	A5L25	48	49							90	60							0
Act 5 - Baal Temple 1	128	4	4	39	39	95	200	200	200	200	200	200	2500	2084		1					1	1		1	1	34	-1	-1	-1	-1	120	129							81	82	-1	-1	-1	-1	-1	-1	10	255	255	255			1		2025	39	64	89	39	65	85	3500	3500	3500			2	3	6	8			3	reanimatedhorde5	succubuswitch2	putriddefiler3																							1	reanimatedhorde6	succubuswitch8	putriddefiler3	sandraider9	bloodlord5	cr_lancer8	vilemother5	cantor6	vampire7	fetishshaman8																bloodlord3	succubuswitch2	putriddefiler2																																			0	47	255	The Worldstone Keep Level 1	To The Worldstone Keep Level 1	A5L18	119	120	121	122	106	129			25	25	35	25	25	25			0
Act 5 - Baal Temple 2	129	4	4	39	39	96	200	200	200	200	200	200	2500	2384		1					1	1		1	1	34	-1	-1	-1	-1	128	130							81	82	-1	-1	-1	-1	-1	-1	10	255	255	255			1		2025	40	65	90	40	65	85	3500	3500	3500			2	3	6	8			3	suicideminion6	minion7																								1	suicideminion6	minion11	fetish8	batdemon7	clawviper10	mummy6	skmage_pois6	unraveler8	scarab7	willowisp6																bloodlord4	minion7																																				0	47	38	The Worldstone Keep Level 2	To The Worldstone Keep Level 2	A5L19	119	120	121	122	129	106			25	25	35	25	26	25			0
Act 5 - Baal Temple 3	130	4	4	39	39	97	200	200	200	200	200	200	2500	2684		1					1	1		1	1	34	-1	-1	-1	-1	129	131							81	82	-1	-1	-1	-1	-1	-1	10	255	255	255			1		2025	42	67	92	42	66	85	3500	3500	3500			2	3	6	8			3	bloodlord5	imp5	putriddefiler4																							1	bloodlord5	imp5	putriddefiler4	fingermage5	dkmag2	fetishblow8	skmage_ltng6	wraith8	succubus4	overseer4																bloodlord5	succubuswitch3	putriddefiler3																																			0	47	255	The Worldstone Keep Level 3	To The Worldstone Keep Level 3	A5L20	119	120	121	122	129	106			25	25	35	25	25	25			0
Act 5 - Throne Room	131	4	4	39	39	98	40	52	40	52	40	52	3000	1000		1					1	1		1	2	34	-1	-1	-1	-1	130	132							81	82	-1	-1	-1	-1	-1	-1	40	255	255	255			1		1000	43	68	93	43	66	85	3500	3500	3500			1	2	4	5			3	bloodlord5	succubuswitch3																								1	bloodlord5	succubuswitch5	bonefetish7	sandraider10	willowisp7	vampire8	megademon5	unraveler9	dkmag2	clawviper10																bloodlord5	succubuswitch3																																				0	48	255	Throne of Destruction	To The Throne of Destruction	A5L21	126	127							25	25							0
Act 5 - World Stone	132	4	4	39	39	99	55	55	55	55	55	55	3000	1152		1					1	1		1	2	34	-1	-1	-1	-1	131								81	-1	-1	-1	-1	-1	-1	-1	40	255	255	255		1	1						43	66	85																																																																																																					0	49	255	The Worldstone Chamber	To The Worldstone Chamber	A5L22																	0
Act 5 - Pandemonium 1	133	0	4			11	200	200	200	200	200	200	4000	1500		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1	1	255	255	255			1		2025	50	75	83	50	75	85	5280	5280	5280	1	1	3	4	4	5	1		3	succubus8	succubuswitch9	corruptrogue6	cr_archer8	cr_lancer9																						succubus8	succubuswitch9	corruptrogue6	cr_archer8	cr_lancer9																					succubus8	succubuswitch9	corruptrogue6	cr_archer8	cr_lancer9																					rat	bat			30	30							8	5	255	Pandemonium Run 1	To The Pandemonium Run 1	A5L28	7	8	9	10					75	4	50	75					0
Act 5 - Pandemonium 2	134	1	4			28	80	80	80	80	80	80	4000	1700		1			1		1	1	1		3	16	9	4	7	8									-1	-1	-1	-1	-1	-1	-1	-1	40	255	255	255	1	1	1		3800	50	75	83	50	75	85	4400	4400	4400			3	4	7	9	1		3	swarm5	sandmaggot7	arach7	scarab8																							swarm5	sandmaggot7	arach7	scarab8																						swarm5	sandmaggot7	arach7	scarab8																						scorpion				20								0	14	255	Pandemonium Run 2	To The Pandemonium Run 2	A5L29	30	24	32	37	36				15	30	10	40	40				0
Act 5 - Pandemonium 3	135	3	4			92	200	200	200	200	200	200	4000	2884		1					1	1			1	35	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255		1	1		3800	50	75	83	50	75	85	4000	4000	4000		1	1	2	3	4	1		3	overseer6	dkmag3	megademon6	imp8																						1	overseer6	dkmag3	megademon6	imp8																						overseer6	dkmag3	megademon6	imp8																																		0	46	255	Pandemonium Run 3	To The Pandemonium Run 3	A5L30	48	49							90	60							0
Act 5 - Pandemonium Finale	136	0	4			25	43	48	43	48	43	48	5000	1000		1	1				1	1	1		2	11	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	140	255	255	255			1		2025	50	75	83	50	75	83				3	3	3	3	3	3																																																																																												0	3	255	Tristram	To Tristram	A5L31	44	45							33	1							0
UberDiabloLvl	137	3	4			98	47	23	47	23	47	23	3000	1300	0	1	0	0	0	0	1	1	0	0	2	26	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	140	255	255	255	0	0	1	0	2025	43	68	93	43	66	90	0	0	0	0	0	0	0	0	0	0	0	0																																																																																									0	31	255	The Pandemonium Fortress	To The Pandemonium Fortress	A4L1																	0
Mesa	138	3	4	39	39	98	150	150	150	150	150	150	3000	1400	0	1	0	0	0	0	1	1	0	1	2	27	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	50	255	255	255	0	0	1	0	2000	43	68	85	43	66	85	500	500	500	0	0	0	0	40	60	0	0	1	TombBoss																										TombBoss																									TombBoss																									scorpion				20								0	48	255	Mesa	To Mesa	M4L1	46	47	77						30	80	70						0
Siege Map	139	4	4	39	39	98	199	199	199	199	199	199	3000	1600	0	1	0	0	0	0	1	1	0	1	2	30	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	110	255	255	255	0	0	1	0	3000	43	68	87	43	66	87	9000	9000	9900	0	0	0	0	40	60	0	0	8	zombieSiege	goatmanSiege	quillratSiege	bigheadSiege	reanimatedSiege	thornhulkSiege	vultureSiege	mosquitoSiege																		1	zombieSiege	goatmanSiege	quillratSiege	bigheadSiege	reanimatedSiege	thornhulkSiege	vultureSiege	mosquitoSiege																		zombieSiege	goatmanSiege	quillratSiege	bigheadSiege	reanimatedSiege	thornhulkSiege	vultureSiege	mosquitoSiege																						20								0	37	255	Siege Map	To The Arreat Battlefield	M5L2	99	100	101	102	103	104	105	133	25	25	25	26	25	25	25	5	0
Palace	140	1	4	39	39	98	150	150	150	150	150	150	3000	1850	0	1	0	0	0	0	1	1	0	1	2	15	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	50	255	255	255	0	0	1	0	3000	43	68	85	43	66	85	9000	9000	9900	0	0	0	0	0	0	0	0	0																																																																													rat	bat	scorpion		20								0	18	255	Palace	To Palace	M1L1	57	58	133						20	10	5						0
Sewers	141	2	4	39	39	98	179	179	179	179	179	179	3000	2050	0	1	0	0	0	0	1	1	0	1	2	25	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	50	255	255	255	0	0	1	0	3000	43	68	89	43	66	87	9750	9750	10000	0	0	0	0	40	60	0	0	8	fetish2Sewer	minionSewer	vilechildSewer	fetishblowSewer	vampireSewer	sandmaggotSewer	sandraiderSewer	mosquitoSewer																		1	fetish2Sewer	minionSewer	vilechildSewer	fetishblowSewer	vampireSewer	sandmaggotSewer	sandraiderSewer	mosquitoSewer																		fetish2Sewer	minionSewer	vilechildSewer	fetishblowSewer	vampireSewer	sandmaggotSewer	sandraiderSewer	mosquitoSewer																		rat	bat	scorpion		20								0	15	255	Sewers	To Sewers	M2L2	64	70	62	65	5				50	50	35	45	45	133			0
Arcane	142	1	4	39	39	98	179	179	179	179	179	179	3000	2300	0	1	0	0	0	0	1	1	0	1	2	19	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	90	255	255	255	0	0	1	0	3000	43	68	87	43	66	87	9000	9000	9900	0	0	0	0	40	60	0	0	8	flyingscimitarArcane	zealotArcane	painwormArcane	cantorArcane	doomknightArcane	snowyetiArcane	frozenhorrorArcane	wraithArcane																		1	flyingscimitarArcane	zealotArcane	painwormArcane	cantorArcane	doomknightArcane	snowyetiArcane	frozenhorrorArcane	wraithArcane																		flyingscimitarArcane	zealotArcane	painwormArcane	cantorArcane	doomknightArcane	snowyetiArcane	frozenhorrorArcane	wraithArcane																		rat	bat	scorpion		20								0	22	255	ArcaneMap	To Horazon's Memory	M4L2	53	75	133						75	75	5						0
Kurast	143	2	4	39	39	98	150	150	150	150	150	150	3000	2550	0	1	0	0	0	0	1	1	0	1	2	22	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	90	255	255	255	0	0	1	0	3000	43	68	88	43	66	88	9375	9375	10000	8	16	8	16	40	60	0	0	11	cr_lancermap	goatmanmap	cr_archermap	bigheadmap	cantormap	unravelermap	arachmap	thornhulkmap	sandleapermap	mosquitomap	fetishshamanmap															1	cr_lancermap	goatmanmap	cr_archermap	bigheadmap	cantormap	unravelermap	arachmap	thornhulkmap	sandleapermap	mosquitomap	fetishshamanmap															cr_lancermap	goatmanmap	cr_archermap	bigheadmap	cantormap	unravelermap	arachmap	thornhulkmap	sandleapermap	mosquitomap	fetishshamanmap															rat	minispider	parrot		40								0	25	255	Kurast	To Kurast	M1L2	31	76	40	42	43	133			33	15	45	50	50	5			0
River Of Blood	144	2	4	39	39	98	240	240	240	240	240	240	3000	2750	0	1	0	0	0	0	1	1	0	0	2	22	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	110	255	220	255	0	0	1	0	3000	43	68	89	43	66	88	9000	9000	9900	8	16	8	16	40	60	0	0	9	doomknightmap	vilemothermap	zealotmap	oblivionknightmap	deathmaulermap	sk_archermap	baalminionmap	regurgitatormap	councilmembermap																	1	doomknightmap	vilemothermap	zealotmap	oblivionknightmap	deathmaulermap	sk_archermap	baalminionmap	regurgitatormap	councilmembermap																	doomknightmap	vilemothermap	zealotmap	oblivionknightmap	deathmaulermap	sk_archermap	baalminionmap	regurgitatormap	councilmembermap																	rat	larva	bug		40								0	30	255	River Of Blood	To The River of Blood	M3L1	60	61	59	74	133				50	25	45	45	5				0
